"Time","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Percent"
"2020","Citywide","1","0","New York City","706,000","11.0 (10.1, 12.0)"
"2020","Borough","1","1","Bronx","139,000","13.6 (11.1, 16.4)"
"2020","Borough","2","1","Brooklyn","219,000","11.3 (9.8, 13.0)"
"2020","Borough","3","1","Manhattan","106,000","8.0 (6.4, 10.1)"
"2020","Borough","4","1","Queens","171,000","9.7 (7.9, 11.9)"
"2020","Borough","5","1","Staten Island","71,000","19.4 (14.3, 25.8)"
"2020","UHF 34","101","3","Kingsbridge - Riverdale","**","**"
"2020","UHF 34","102","3","Northeast Bronx","18,000","12.7 (7.1, 21.8)"
"2020","UHF 34","103","3","Fordham - Bronx Pk","29,000","15.8 (10.3, 23.3)"
"2020","UHF 34","104","3","Pelham - Throgs Neck","31,000","13.7 (9.3, 19.9)"
"2020","UHF 34","201","3","Greenpoint","13,000*","12.9* (6.9, 22.9)"
"2020","UHF 34","202","3","Downtown - Heights - Slope","20,000","11.1 (6.5, 18.3)"
"2020","UHF 34","203","3","Bedford Stuyvesant - Crown Heights","27,000","11.2 (7.7, 15.9)"
"2020","UHF 34","204","3","East New York","14,000","10.7 (6.4, 17.3)"
"2020","UHF 34","205","3","Sunset Park","9,000","8.7 (4.9, 15.0)"
"2020","UHF 34","206","3","Borough Park","28,000","11.9 (7.8, 17.7)"
"2020","UHF 34","207","3","East Flatbush - Flatbush","17,000","7.6 (4.7, 12.1)"
"2020","UHF 34","208","3","Canarsie - Flatlands","14,000*","9.4* (4.6, 18.2)"
"2020","UHF 34","209","3","Bensonhurst - Bay Ridge","18,000","11.0 (6.4, 18.1)"
"2020","UHF 34","210","3","Coney Island - Sheepshead Bay","34,000","14.9 (10.2, 21.2)"
"2020","UHF 34","211","3","Williamsburg - Bushwick","20,000","13.5 (8.4, 20.9)"
"2020","UHF 34","301","3","Washington Heights","23,000","11.8 (7.0, 19.2)"
"2020","UHF 34","302","3","Central Harlem - Morningside Heights","10,000","8.4 (5.0, 14.0)"
"2020","UHF 34","303","3","East Harlem","8,000*","10.5* (5.1, 20.3)"
"2020","UHF 34","304","3","Upper West Side","**","**"
"2020","UHF 34","401","3","Long Island City - Astoria","24,000","14.5 (8.3, 23.9)"
"2020","UHF 34","402","3","West Queens","33,000","8.9 (5.6, 13.9)"
"2020","UHF 34","403","3","Flushing - Clearview","14,000","6.5 (3.6, 11.5)"
"2020","UHF 34","405","3","Ridgewood - Forest Hills","21,000","10.4 (6.2, 16.9)"
"2020","UHF 34","407","3","Southwest Queens","15,000*","7.5* (4.0, 13.8)"
"2020","UHF 34","408","3","Jamaica","22,000*","10.4* (4.9, 20.9)"
"2020","UHF 34","409","3","Southeast Queens","19,000*","12.3* (5.9, 23.7)"
"2020","UHF 34","410","3","Rockaways","8,000*","9.4* (3.7, 22.0)"
"2020","UHF 34","305307","3","Upper East Side-Gramercy","24,000","7.8 (4.5, 13.1)"
"2020","UHF 34","306308","3","Chelsea-Village","13,000","6.1 (3.4, 10.8)"
"2020","UHF 34","309310","3","Union Square-Lower Manhattan","18,000","8.5 (5.2, 13.6)"
"2020","UHF 34","404406","3","Bayside Little Neck-Fresh Meadows","9,000","6.3 (3.5, 10.9)"
"2020","UHF 34","501502","3","Northern SI","27,000","18.8 (11.1, 30.1)"
"2020","UHF 34","503504","3","Southern SI","43,000","19.7 (13.5, 27.7)"
"2020","UHF 34","105106107","3","South Bronx","55,000","14.4 (10.6, 19.4)"